Semana,Fecha,Infectados,Expuestos,Recuperados,Susceptibles
0,27/03/2022,119773,5704,989,4005682
1,03/04/2022,119920,5718,981,4005529
2,10/04/2022,120016,5732,973,4005427
3,17/04/2022,120160,5751,966,4005271
4,24/04/2022,120303,5769,958,4005118
5,01/05/2022,120418,5796,951,4004983
6,08/05/2022,120542,5815,943,4004848
7,15/05/2022,120701,5838,936,4004673
8,22/05/2022,120999,5852,931,4004366
9,29/05/2022,121321,5859,925,4004043
10,05/06/2022,122326,5874,925,4003023
11,12/06/2022,123616,5897,927,4001708
12,19/06/2022,125489,5919,933,3999807
13,26/06/2022,128059,5945,945,3997199
14,03/07/2022,131464,5974,962,3993748
15,10/07/2022,135883,6005,986,3989274
16,17/07/2022,139871,6014,1007,3985256
17,24/07/2022,143179,6026,1023,3981920
18,31/07/2022,145622,6037,1032,3979457
19,07/08/2022,147254,6047,1035,3977812
20,14/08/2022,148211,6051,1034,3976852
21,21/08/2022,148721,6056,1030,3976341
22,28/08/2022,149007,6060,1024,3976057
23,04/09/2022,149219,6064,1017,3975848
24,11/09/2022,149313,6071,1010,3975754
25,18/09/2022,149423,6072,1004,3975649
26,25/09/2022,149518,6078,997,3975555
